name,name_zh,name_json,source,layer,lat,lon
PAYA LEBAR MRT STATION (CC9),巴耶利峇地铁,"[""CC9"", ""Paya Lebar MRT""]",onemap,venue,1.3172473854035,103.892260753884
MACPHERSON MRT STATION (DT26),麦波申地铁,"[""CC10"", ""MacPherson MRT""]",onemap,venue,1.32615024457361,103.889298600376
TAI SENG MRT STATION (CC11),大成地铁,"[""CC11"", ""Tai Seng MRT""]",onemap,venue,1.33514150139202,103.888389300191
BARTLEY MRT STATION (CC12),巴特礼地铁,"[""CC12"", ""Bartley MRT""]",onemap,venue,1.34250117805245,103.880177899184
SERANGOON MRT STATION (CC13),实龙岗地铁,"[""CC13"", ""Serangoon MRT""]",onemap,venue,1.35063361526525,103.872771660431
LORONG CHUAN MRT STATION (CC14),罗弄泉地铁,"[""CC14"", ""Lorong Chuan MRT""]",onemap,venue,1.35161217074555,103.864151938651
BISHAN MRT STATION (CC15),碧山地铁,"[""CC15"", ""Bishan MRT""]",onemap,venue,1.35131580146658,103.84914026532
MARYMOUNT MRT STATION (CC16),玛丽蒙地铁,"[""CC16"", ""Marymount MRT""]",onemap,venue,1.348707263451,103.839423132332
CALDECOTT MRT STATION (TE9),加利谷地铁,"[""CC17"", ""Caldecott MRT""]",onemap,venue,1.33724561271722,103.840161782075
BOTANIC GARDENS MRT STATION,植物园地铁,"[""CC19"", ""Botanic Gardens MRT""]",onemap,venue,1.32238699517166,103.815385463093
FARRER ROAD MRT STATION (CC20),花拉路地铁,"[""CC20"", ""Farrer Road MRT""]",onemap,venue,1.31743915158967,103.807379214161
HOLLAND VILLAGE MRT STATION (CC21),荷兰村地铁,"[""CC21"", ""Holland Village MRT""]",onemap,venue,1.31224029631595,103.796399122407
BUONA VISTA MRT STATION (EW21),波那维斯达地铁,"[""CC22"", ""Buona Vista MRT""]",onemap,venue,1.3072237082044,103.790253514502
ONE-NORTH MRT STATION (CC23),纬壹地铁,"[""CC23"", ""one-north MRT""]",onemap,venue,1.29975987493555,103.78745750525
KENT RIDGE MRT STATION (CC24),肯特岗地铁,"[""CC24"", ""Kent Ridge MRT""]",onemap,venue,1.29353349887123,103.784572738173
HAW PAR VILLA MRT STATION (CC25),虎豹别墅地铁,"[""CC25"", ""Haw Par Villa MRT""]",onemap,venue,1.28257135772488,103.781752725064
PASIR PANJANG MRT STATION (CC26),巴西班让地铁,"[""CC26"", ""Pasir Panjang MRT""]",onemap,venue,1.27621352233766,103.791350313288
LABRADOR PARK MRT STATION,拉柏多公园地铁,"[""CC27"", ""Labrador Park MRT""]",onemap,venue,1.27236838626952,103.803416232089
TELOK BLANGAH MRT STATION (CC28),直落布兰雅地铁,"[""CC28"", ""Telok Blangah MRT""]",onemap,venue,1.27070647717762,103.809761611219
HARBOURFRONT MRT STATION (NE1 / CC29),港湾地铁,"[""CC29"", ""HarbourFront MRT""]",onemap,venue,1.26538938374901,103.821530157095
BAYFRONT MRT STATION (DT16 / CE1),海湾舫地铁,"[""CE1"", ""Bayfront MRT""]",onemap,venue,1.28187378879209,103.859079764874
MARINA BAY MRT STATION (NS27),滨海湾地铁,"[""CE2"", ""Marina Bay MRT""]",onemap,venue,1.276410298755,103.854595522263
BUKIT PANJANG MRT STATION (DT1),武吉班让地铁,"[""DT1"", ""Bukit Panjang MRT""]",onemap,venue,1.37900211641036,103.761535114929
CASHEW MRT STATION (DT2),凯秀地铁,"[""DT2"", ""Cashew MRT""]",onemap,venue,1.36981544925552,103.76443921414
HILLVIEW MRT STATION (DT3),山景地铁,"[""DT3"", ""Hillview MRT""]",onemap,venue,1.36234486803558,103.767418254007
BEAUTY WORLD MRT STATION (DT5),美世界地铁,"[""DT5"", ""Beauty World MRT""]",onemap,venue,1.34122317558549,103.775794285083
KING ALBERT PARK MRT STATION,阿尔柏王园地铁,"[""DT6"", ""King Albert Park MRT""]",onemap,venue,1.335893496278,103.783235863233
