stn_code,mrt_station_english,mrt_station_chinese,mrt_line_english,mrt_line_chinese,onemap_query,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
SW2,Farmway,农道,Sengkang LRT,盛港轻轨线,Farmway LRT,FARMWAY LRT STATION (SW2),35,ANCHORVALE STREET,FARMWAY LRT STATION (SW2),35 ANCHORVALE STREET FARMWAY LRT STATION (SW2) SINGAPORE 545048,545048,34230.5208312804,42117.5715403445,1.39717019591821,103.889304824196,103.889304824196
SW3,Kupang,古邦,Sengkang LRT,盛港轻轨线,Kupang LRT,KUPANG LRT STATION (SW3),60,FERNVALE STREET,KUPANG LRT STATION (SW3),60 FERNVALE STREET KUPANG LRT STATION (SW3) SINGAPORE 797697,797697,33334.8164311657,42232.8410119303,1.39821283031379,103.881256222255,103.881256222255
SW4,Thanggam,丹甘,Sengkang LRT,盛港轻轨线,Thanggam LRT,THANGGAM LRT STATION (SW4),40,FERNVALE ROAD,THANGGAM LRT STATION (SW4),40 FERNVALE ROAD THANGGAM LRT STATION (SW4) SINGAPORE 797699,797699,32709.2687078444,42133.9003911279,1.39731815581938,103.875635154729,103.875635154729
SW5,Fernvale,芬微,Sengkang LRT,盛港轻轨线,Fernvale LRT,FERNVALE LRT STATION (SW5),10,FERNVALE ROAD,FERNVALE LRT STATION (SW5),10 FERNVALE ROAD FERNVALE LRT STATION (SW5) SINGAPORE 797698,797698,32784.2284894353,41533.2285615634,1.39188588468304,103.876308630144,103.876308630144
SW6,Layar,拉雅,Sengkang LRT,盛港轻轨线,Layar LRT,LAYAR LRT STATION (SW6),11,SENGKANG WEST AVENUE,LAYAR LRT STATION (SW6),11 SENGKANG WEST AVENUE LAYAR LRT STATION (SW6) SINGAPORE 797700,797700,33198.3233218081,41554.6826597638,1.39207983659997,103.880029600546,103.880029600546
SW7,Tongkang,同港,Sengkang LRT,盛港轻轨线,Tongkang LRT,TONGKANG LRT STATION (SW7),80,SENGKANG EAST AVENUE,TONGKANG LRT STATION (SW7),80 SENGKANG EAST AVENUE TONGKANG LRT STATION (SW7) SINGAPORE 545050,545050,33845.4132231614,41252.6175956074,1.38934794658941,103.885844150116,103.885844150116
SW8,Renjong,仁宗,Sengkang LRT,盛港轻轨线,Renjong LRT,RENJONG LRT STATION (SW8),60,SENGKANG EAST AVENUE,RENJONG LRT STATION (SW8),60 SENGKANG EAST AVENUE RENJONG LRT STATION (SW8) SINGAPORE 545049,545049,34377.0569484383,40959.8985281233,1.38670058991904,103.89062131608,103.89062131608
PTC,Punggol,榜鹅,Punggol LRT,榜鹅轻轨线,Punggol LRT,PUNGGOL LRT STATION (PTC),70,PUNGGOL CENTRAL,PUNGGOL LRT STATION (PTC),70 PUNGGOL CENTRAL PUNGGOL LRT STATION (PTC) SINGAPORE 828868,828868,35689.1389922583,43004.9202214088,1.40519470149606,103.902411911915,103.902411911915
PE1,Cove,海湾,Punggol LRT,榜鹅轻轨线,Cove LRT,COVE LRT STATION (PE1),50,PUNGGOL FIELD,COVE LRT STATION (PE1),50 PUNGGOL FIELD COVE LRT STATION (PE1) SINGAPORE 828858,828858,36084.2289814064,42351.133770803,1.39928198837342,103.905961941214,103.905961941214
PE2,Meridian,丽园,Punggol LRT,榜鹅轻轨线,Meridian LRT,MERIDIAN LRT STATION (PE2),60,PUNGGOL FIELD,MERIDIAN LRT STATION (PE2),60 PUNGGOL FIELD MERIDIAN LRT STATION (PE2) SINGAPORE 828857,828857,36416.793337211,42089.08824775,1.3969120498774,103.908950224489,103.908950224489
PE3,Coral Edge,珊瑚,Punggol LRT,榜鹅轻轨线,Coral Edge LRT,CORAL EDGE LRT STATION (PE3),70,PUNGGOL FIELD,CORAL EDGE LRT STATION (PE3),70 PUNGGOL FIELD CORAL EDGE LRT STATION (PE3) SINGAPORE 828856,828856,36820.844465619,41757.0644781347,1.39390922863313,103.912580845515,103.912580845515
PE4,Riviera,里维拉,Punggol LRT,榜鹅轻轨线,Riviera LRT,RIVIERA LRT STATION (PE4),40,PUNGGOL EAST,RIVIERA LRT STATION (PE4),40 PUNGGOL EAST RIVIERA LRT STATION (PE4) SINGAPORE 828852,828852,37220.1990320655,41824.5905639976,1.39451978540251,103.916169381157,103.916169381157
PE5,Kadaloor,卡达鲁,Punggol LRT,榜鹅轻轨线,Kadaloor LRT,KADALOOR LRT STATION (PE5),60,PUNGGOL DRIVE,KADALOOR LRT STATION (PE5),60 PUNGGOL DRIVE KADALOOR LRT STATION (PE5) SINGAPORE 828853,828853,37265.3166702027,42376.2865863442,1.39950910636258,103.916574974234,103.916574974234
PE6,Oasis,绿洲,Punggol LRT,榜鹅轻轨线,Oasis LRT,OASIS LRT STATION (PE6),50,PUNGGOL DRIVE,OASIS LRT STATION (PE6),50 PUNGGOL DRIVE OASIS LRT STATION (PE6) SINGAPORE 828854,828854,36837.1174417054,42683.4020451903,1.40228667971123,103.912727352412,103.912727352412
PE7,Damai,达迈,Punggol LRT,榜鹅轻轨线,Damai LRT,DAMAI LRT STATION (PE7),40,PUNGGOL DRIVE,DAMAI LRT STATION (PE7),40 PUNGGOL DRIVE DAMAI LRT STATION (PE7) SINGAPORE 828855,828855,36378.1826799456,43009.3794218432,1.40523483636957,103.908603542566,103.908603542566
PW1,Sam Kee,三记,Punggol LRT,榜鹅轻轨线,Sam Kee LRT,SAM KEE LRT STATION (PW1),10,SENTUL CRESCENT,SAM KEE LRT STATION (PW1),10 SENTUL CRESCENT SAM KEE LRT STATION (PW1) SINGAPORE 828851,828851,35958.3967099339,43493.4470222741,1.40961268528804,103.904831550608,103.904831550608
PW2,Teck Lee,德利,Punggol LRT,榜鹅轻轨线,Teck Lee LRT,TECK LEE LRT STATION (PW2),101,PONGGOL SEVENTEENTH AVENUE,TECK LEE LRT STATION (PW2),101 PONGGOL SEVENTEENTH AVENUE TECK LEE LRT STATION (PW2) SINGAPORE 828861,828861,36152.699307289,43842.6720870361,1.4127708937463,103.906577622768,103.906577622768
PW3,Punggol Point,榜鹅坊,Punggol LRT,榜鹅轻轨线,Punggol Point LRT,PUNGGOL POINT LRT STATION (PW3),81,PUNGGOL WAY,PUNGGOL POINT LRT STATION (PW3),81 PUNGGOL WAY PUNGGOL POINT LRT STATION (PW3) SINGAPORE 828644,828644,36160.8274716362,44293.556079682,1.41684852031206,103.906650789313,103.906650789313
PW4,Samudera,山姆,Punggol LRT,榜鹅轻轨线,Samudera LRT,SAMUDERA LRT STATION (PW4),61,PUNGGOL WAY,SAMUDERA LRT STATION (PW4),61 PUNGGOL WAY SAMUDERA LRT STATION (PW4) SINGAPORE 828645,828645,35660.6597858425,44188.8484394047,1.41590172160383,103.902156317163,103.902156317163
PW5,Nibong,尼蒙,Punggol LRT,榜鹅轻轨线,Nibong LRT,NIBONG LRT STATION (PW5),41,PUNGGOL WAY,NIBONG LRT STATION (PW5),41 PUNGGOL WAY NIBONG LRT STATION (PW5) SINGAPORE 828862,828862,35455.6253116447,43743.0799781512,1.41187040942087,103.900313788123,103.900313788123
PW6,Sumang,苏芒,Punggol LRT,榜鹅轻轨线,Sumang LRT,SUMANG LRT STATION (PW6),31,PUNGGOL WAY,SUMANG LRT STATION (PW6),31 PUNGGOL WAY SUMANG LRT STATION (PW6) SINGAPORE 828863,828863,35260.291393281,43365.130112553,1.40845241943079,103.898558450395,103.898558450395
PW7,Soo Teck,树德,Punggol LRT,榜鹅轻轨线,Soo Teck LRT,SOO TECK LRT STATION (PW7),21,PUNGGOL WAY,SOO TECK LRT STATION (PW7),21 PUNGGOL WAY SOO TECK LRT STATION (PW7) SINGAPORE 828864,828864,35119.198004419,43019.1258336715,1.40532331860455,103.897290522033,103.897290522033
TE1,Woodlands North ,兀 兰 北,Thomson-East Coast Line,汤申-东海岸线,Woodlands North MRT,WOODLANDS NORTH MRT STATION (TE1),20,WOODLANDS NORTH COAST ROAD,WOODLANDS NORTH MRT STATION (TE1),20 WOODLANDS NORTH COAST ROAD WOODLANDS NORTH MRT STATION (TE1) SINGAPORE 737668,737668,22699.9912448721,47770.3945726696,1.44829245259621,103.785692682441,103.785692682441
TE2,Woodlands ,兀 兰,Thomson-East Coast Line,汤申-东海岸线,Woodlands MRT,WOODLANDS MRT STATION (TE2),11,WOODLANDS SQUARE,WOODLANDS MRT STATION (TE2),11 WOODLANDS SQUARE WOODLANDS MRT STATION (TE2) SINGAPORE 737736,737736,22949.9191319831,46417.5223346148,1.43605761708128,103.787938777173,103.787938777173
TE3,Woodlands South ,兀 兰 南,Thomson-East Coast Line,汤申-东海岸线,Woodlands South MRT,WOODLANDS SOUTH MRT STATION (TE3),30,WOODLANDS DRIVE 17,WOODLANDS SOUTH MRT STATION (TE3),30 WOODLANDS DRIVE 17 WOODLANDS SOUTH MRT STATION (TE3) SINGAPORE 737741,737741,23542.5545697259,45459.758821588,1.42739605281442,103.79326432221,103.79326432221
